name,discount_in_percent,price_in_brl,rating_in_percent,end_time_in_seconds,start_time_in_second,release_time_in_second
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,66,30.93,82.15,1636646400,1636474202,1399939200
GIGANTIC ARMY,50,5.99,72.64,1636999200,1636157147,1394064000
Making History: The Great War,50,31.99,72.09,1636999200,1636394805,1422489600
Bridge Constructor Playground,88,2.39,63.71,1637172000,1636394806,1404259200
GhostControl Inc.,60,11.19,67.37,1636999200,1636394806,1402012800
Imagine Earth,40,32.99,76.71,1636740000,1636208109,1621900800
Disciples Sacred Lands Gold,80,3.19,78.05,1637604000,1636394806,938995200
Strategic War in Europe,90,2.79,44.27,1637604000,1636394806,1395360000
The Campaign Series: Fall Weiss,90,2.79,39.29,1637604000,1636394806,1401408000
Astebreed: Definitive Edition,75,9.49,84.32,1636740000,1636182595,1401408000
Braveland,75,8.74,79.38,1636999200,1636394807,1395014400
Zoo Empire,75,3.49,68.46,1637085600,1635872723,1091318400
The Emerald Tablet,50,18.99,63.21,1636740000,1636182315,1576454400
Sid Meier’s Civilization® VI,85,19.35,82.04,1637085600,1635874226,1476921600
LogicBots,80,7.39,74.99,1636999200,1636394807,1486512000
Time Ramesside (A New Reckoning),50,1.14,21.71,1637172000,1635962896,1430438400
Magical Battle Festa,80,3.99,61.3,1636740000,1636182316,1416528000
Kero Blaster,60,7.99,88.35,1636740000,1636182570,1447200000
The Good Life,82,3.59,52.13,1636999200,1636394808,1351814400
Arson and Plunder: Unleashed,80,2.17,43.26,1637172000,1636394808,1443139200
Shadowgate,80,5.59,81.54,1636999200,1636394808,1408579200
Streng Check,45,1.25,52.78,1636999200,1636394808,1553644800
Lucius II,85,5.54,60.02,1637085600,1635872724,1423785600
Dreaming Sarah,80,1.19,87.28,1636999200,1636394808,1426118400
Heroes® of Might & Magic® III - HD Edition,75,11.24,75.23,1636912800,1636394808,1422489600
The Culling Of The Cows,80,2.17,71.9,1636999200,1636394808,1399593600
Warrior Kings,80,3.99,62.89,1636999200,1635442640,1018656000
Immortal Defense,90,1.49,80.1,1636999200,1636394808,1180396800
Warrior Kings: Battles,80,3.99,83.2,1636999200,1635442640,1064880000
The Land of Eyas,80,3.99,75.71,1637172000,1636394808,1469059200
ADR1FT,75,9.24,54.52,1636740000,1636182316,1459123200
Storm over the Pacific,90,1.99,48.96,1637604000,1636394808,1402617600
TRISTOY,80,2.79,51.33,1637172000,1636394808,1421280000
Time of Fury,90,3.29,53.87,1637604000,1636394808,1405641600
World War 2: Time of Wrath,80,2.09,45.92,1637604000,1636394809,1245024000
Trapped Dead: Lockdown,90,1.99,54.79,1637172000,1636394809,1426809600
Project AURA,75,7.24,64.34,1636999200,1635789868,1523923200
"I, Zombie",73,1.15,80.83,1636999200,1635789868,1417996800
Back to Bed,90,1.19,78.21,1637172000,1635962899,1407283200
Grand Ages: Medieval,50,44.5,46.78,1636999200,1636394809,1443139200
Geometry Wars™ 3: Dimensions Evolved,50,15.49,85.23,1636999200,1636394809,1416873600
Onikira - Demon Killer,80,5.39,40.72,1637172000,1636394809,1440633600
Legions of Ashworld,80,2.09,60.1,1637604000,1636394809,1404432000
The Way,90,2.79,80.81,1637431200,1636218317,1463702400
Super Panda Adventures,50,5.44,89.39,1636999200,1636394809,1405296000
Wildlife Park,35,9.09,57.61,1636999200,1636394809,1051747200
Chasm,50,18.99,69.98,1636999200,1636394809,1532995200
Spirits of Xanadu,60,4.35,74.0,1636999200,1636394809,1427328000
Vertical Strike Endless Challenge,70,3.14,72.8,1636740000,1636182312,1493337600
REVOLVER360 RE:ACTOR,80,3.99,85.66,1636740000,1636182570,1414108800
Obludia,67,2.14,48.94,1636999200,1636394809,1405641600
Blackguards 2,90,1.89,64.64,1637690400,1636480888,1421712000
Skilltree Saga,80,3.99,36.26,1637172000,1636394809,1417651200
All Guns On Deck,80,5.19,37.83,1636999200,1636394809,1440720000
Stonerid,89,1.15,62.24,1636999200,1636394809,1387324800
Airscape - The Fall of Gravity,73,1.15,79.24,1637085600,1635872725,1439251200
Nelly Cootalot: The Fowl Fleet,50,18.49,85.08,1636999200,1636394809,1458604800
The Keep,77,6.89,67.07,1636999200,1636394809,1489622400
AXYOS,85,1.63,52.4,1637085600,1635855024,1533081600
Bridge Constructor Medieval,88,2.39,77.41,1637172000,1636394807,1410739200
Trine 3: The Artifacts of Power,75,10.24,63.6,1636999200,1635442643,1440028800
Meadowland,80,1.67,54.47,1636740000,1636182595,1413936000
Car Mechanic Simulator 2015,90,3.69,89.71,1637344800,1636131932,1429747200
World Truck Racing,90,1.99,37.36,1637431200,1636218317,1410825600
Earthworms,90,1.19,74.08,1637431200,1636218319,1519344000
